###############################################################
# Settings:
# de.lmu.ifi.dbs.elki.workflow.InputStep
# -db StaticArrayDatabase
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -dbc FileBasedDatabaseConnection
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.in /Users/BOX/Desktop/OS/proj/z/Analysis_2/cluster/hd/CH_WTD.csv
# -dbc.parser DoubleVectorLabelParser
# 
# de.lmu.ifi.dbs.elki.datasource.parser.DoubleVectorLabelParser
# -parser.colsep \s+
# -parser.quote "
# -parser.labelIndices [unset]
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.filter [unset]
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -db.index [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.AlgorithmStep
# -algorithm clustering.EM
# 
# de.lmu.ifi.dbs.elki.algorithm.clustering.EM
# -em.k 3
# -em.delta 0.0
# -em.seed [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.EvaluationStep
# -evaluator [unset]
###############################################################
# Cluster: Cluster 2
# Serialization class: de.lmu.ifi.dbs.elki.data.model.EMModel
# Cluster Mean: 7.607964179648325 7.259374075600967
# Mean: 7.607964179648325 7.259374075600967
# Covariance Matrix: [
#  [ 0.07152063, 0.04349767 ]
#  [ 0.04349767, 0.09370547 ]
# ]
ID=131 7.5 7.300000000000004 (2,720)
ID=130 7.700000000000003 7.5 (2,690)
ID=133 7.899999999999999 7.200000000000003 (2,780)
ID=132 7.5 7.300000000000004 (2,750)
ID=135 7.899999999999999 7.100000000000001 (2,840)
ID=134 7.899999999999999 7.399999999999999 (2,810)
ID=152 7.300000000000004 7.299999999999997 (2,1350)
ID=153 7.799999999999997 7.399999999999999 (2,1380)
ID=154 7.799999999999997 7.399999999999999 (2,1410)
ID=155 7.800000000000004 7.199999999999996 (2,1440)
ID=156 7.800000000000004 7.100000000000001 (2,1470)
ID=157 7.5 7.100000000000001 (2,1500)
ID=158 7.5 7.299999999999997 (2,1530)
ID=159 7.899999999999999 7.299999999999997 (2,1560)
ID=144 7.700000000000003 7.0 (2,1110)
ID=145 7.399999999999999 7.199999999999996 (2,1140)
ID=146 7.399999999999999 6.899999999999999 (2,1170)
ID=147 7.399999999999999 7.099999999999994 (2,1200)
ID=148 7.700000000000003 7.0 (2,1230)
ID=149 7.700000000000003 7.100000000000001 (2,1260)
ID=150 7.300000000000004 7.0 (2,1290)
ID=151 7.300000000000004 7.299999999999997 (2,1320)
ID=171 7.700000000000003 7.399999999999999 (2,1920)
ID=170 7.600000000000001 7.600000000000001 (2,1890)
ID=169 7.600000000000001 7.399999999999999 (2,1860)
ID=168 7.800000000000004 7.299999999999997 (2,1830)
ID=175 7.700000000000003 7.299999999999997 (2,2040)
ID=174 7.300000000000004 7.399999999999999 (2,2010)
ID=173 7.300000000000004 7.5 (2,1980)
ID=172 7.700000000000003 7.299999999999997 (2,1950)
ID=163 7.5 7.399999999999999 (2,1680)
ID=162 7.899999999999999 7.100000000000001 (2,1650)
ID=161 7.899999999999999 7.399999999999999 (2,1620)
ID=160 7.899999999999999 7.5 (2,1590)
ID=167 7.800000000000004 7.299999999999997 (2,1800)
ID=166 7.5 7.299999999999997 (2,1770)
ID=165 7.5 7.399999999999999 (2,1740)
ID=164 7.5 7.399999999999999 (2,1710)
ID=186 7.899999999999999 7.5 (2,2370)
ID=187 7.899999999999999 7.600000000000001 (2,2400)
ID=184 7.699999999999996 7.400000000000006 (2,2310)
ID=185 7.699999999999996 7.600000000000001 (2,2340)
ID=190 7.899999999999999 7.600000000000001 (2,2490)
ID=191 7.400000000000006 7.600000000000001 (2,2520)
ID=188 7.899999999999999 7.600000000000001 (2,2430)
ID=189 7.899999999999999 7.5 (2,2460)
ID=178 7.600000000000001 7.399999999999999 (2,2130)
ID=179 7.600000000000001 7.600000000000001 (2,2160)
ID=176 7.399999999999999 7.299999999999997 (2,2070)
ID=177 7.399999999999999 7.600000000000001 (2,2100)
ID=182 7.899999999999999 7.899999999999999 (2,2250)
ID=183 7.899999999999999 7.799999999999997 (2,2280)
ID=180 7.5 7.300000000000004 (2,2190)
ID=181 7.5 7.700000000000003 (2,2220)
ID=205 7.300000000000004 7.200000000000003 (2,2940)
ID=204 8.0 7.0 (2,2910)
ID=207 7.600000000000001 7.199999999999996 (2,3000)
ID=206 7.600000000000001 7.199999999999996 (2,2970)
ID=201 7.600000000000001 7.400000000000006 (2,2820)
ID=200 7.400000000000006 7.700000000000003 (2,2790)
ID=203 8.0 7.400000000000006 (2,2880)
ID=202 7.600000000000001 7.600000000000001 (2,2850)
ID=197 7.700000000000003 7.0 (2,2700)
ID=196 7.5 6.900000000000006 (2,2670)
ID=199 7.400000000000006 7.700000000000003 (2,2760)
ID=198 7.700000000000003 6.899999999999999 (2,2730)
ID=193 7.800000000000004 7.299999999999997 (2,2580)
ID=192 7.400000000000006 7.299999999999997 (2,2550)
ID=195 7.5 7.100000000000001 (2,2640)
ID=194 7.800000000000004 7.100000000000001 (2,2610)
ID=220 7.400000000000006 7.199999999999996 (3,210)
ID=221 7.400000000000006 7.0 (3,240)
ID=222 7.600000000000001 7.100000000000001 (3,270)
ID=223 7.700000000000003 7.299999999999997 (3,300)
ID=218 7.400000000000006 7.299999999999997 (3,150)
ID=219 7.400000000000006 7.399999999999999 (3,180)
ID=212 7.899999999999999 7.5 (2,3150)
ID=213 7.899999999999999 7.199999999999996 (3,0)
ID=214 7.800000000000004 7.199999999999996 (3,30)
ID=215 7.800000000000004 7.199999999999996 (3,60)
ID=208 7.600000000000001 7.0 (2,3030)
ID=209 7.800000000000004 7.299999999999997 (2,3060)
ID=210 7.800000000000004 7.399999999999999 (2,3090)
ID=211 7.899999999999999 7.600000000000001 (2,3120)
ID=239 7.399999999999999 6.899999999999999 (3,780)
ID=238 7.600000000000001 6.899999999999999 (3,750)
ID=237 7.600000000000001 6.600000000000001 (3,720)
ID=236 7.599999999999994 6.600000000000001 (3,690)
ID=235 7.599999999999994 7.0 (3,660)
ID=234 7.399999999999999 7.0 (3,630)
ID=233 7.399999999999999 7.100000000000001 (3,600)
ID=232 7.300000000000004 7.100000000000001 (3,570)
ID=231 7.300000000000004 7.200000000000003 (3,540)
ID=230 7.300000000000004 7.299999999999997 (3,510)
ID=229 7.300000000000004 7.299999999999997 (3,480)
ID=228 7.700000000000003 7.100000000000001 (3,450)
ID=227 7.700000000000003 7.0 (3,420)
ID=226 7.5 7.0 (3,390)
ID=225 7.5 7.300000000000004 (3,360)
ID=224 7.700000000000003 7.300000000000004 (3,330)
ID=254 7.100000000000001 7.100000000000001 (3,1230)
ID=252 7.399999999999999 6.799999999999997 (3,1170)
ID=253 7.399999999999999 6.699999999999996 (3,1200)
ID=248 7.5 7.0 (3,1050)
ID=249 7.5 7.0 (3,1080)
ID=246 7.5 7.200000000000003 (3,990)
ID=247 7.5 7.100000000000001 (3,1020)
ID=244 7.299999999999997 7.0 (3,930)
ID=245 7.299999999999997 7.100000000000001 (3,960)
ID=242 7.5 6.899999999999999 (3,870)
ID=243 7.5 7.0 (3,900)
ID=240 7.5 7.0 (3,810)
ID=241 7.5 6.899999999999999 (3,840)
ID=275 7.400000000000006 7.299999999999997 (3,1860)
ID=274 7.400000000000006 7.199999999999996 (3,1830)
ID=273 7.400000000000006 7.5 (3,1800)
ID=272 7.400000000000006 7.300000000000004 (3,1770)
ID=279 7.200000000000003 7.100000000000001 (3,1980)
ID=278 7.200000000000003 7.100000000000001 (3,1950)
ID=277 7.200000000000003 7.399999999999999 (3,1920)
ID=276 7.200000000000003 7.299999999999997 (3,1890)
ID=283 7.299999999999997 6.899999999999999 (3,2100)
ID=282 7.299999999999997 7.0 (3,2070)
ID=287 7.5 6.799999999999997 (3,2220)
ID=286 7.5 6.699999999999996 (3,2190)
ID=285 7.299999999999997 6.699999999999996 (3,2160)
ID=284 7.299999999999997 6.899999999999999 (3,2130)
ID=258 7.399999999999999 6.899999999999999 (3,1350)
ID=256 7.300000000000004 6.899999999999999 (3,1290)
ID=257 7.300000000000004 6.899999999999999 (3,1320)
ID=262 7.0 7.200000000000003 (3,1470)
ID=263 7.200000000000003 7.100000000000001 (3,1500)
ID=267 7.400000000000006 7.100000000000001 (3,1620)
ID=264 7.200000000000003 7.100000000000001 (3,1530)
ID=265 7.200000000000003 7.200000000000003 (3,1560)
ID=270 7.200000000000003 7.200000000000003 (3,1710)
ID=271 7.400000000000006 7.300000000000004 (3,1740)
ID=268 7.400000000000006 7.0 (3,1650)
ID=269 7.200000000000003 7.200000000000003 (3,1680)
ID=304 7.100000000000001 6.5 (3,2730)
ID=315 7.200000000000003 7.100000000000001 (3,3060)
ID=314 7.200000000000003 7.100000000000001 (3,3030)
ID=317 7.399999999999999 6.799999999999997 (3,3120)
ID=316 7.199999999999996 6.799999999999997 (3,3090)
ID=318 7.399999999999999 6.599999999999994 (3,3150)
ID=288 7.299999999999997 6.799999999999997 (3,2250)
ID=293 7.199999999999996 6.799999999999997 (3,2400)
ID=294 7.199999999999996 6.699999999999996 (3,2430)
ID=295 7.100000000000001 6.699999999999996 (3,2460)
ID=296 7.100000000000001 6.699999999999996 (3,2490)
ID=303 7.100000000000001 6.799999999999997 (3,2700)
###############################################################
